timestamp,date,activity
2010-07-04 10:45:00,2010-07-04,144
2010-07-04 10:46:00,2010-07-04,65
2010-07-04 10:47:00,2010-07-04,20
2010-07-04 10:48:00,2010-07-04,242
2010-07-04 10:49:00,2010-07-04,91
2010-07-04 10:50:00,2010-07-04,212
2010-07-04 10:51:00,2010-07-04,205
2010-07-04 10:52:00,2010-07-04,686
2010-07-04 10:53:00,2010-07-04,482
2010-07-04 10:54:00,2010-07-04,259
2010-07-04 10:55:00,2010-07-04,306
2010-07-04 10:56:00,2010-07-04,424
2010-07-04 10:57:00,2010-07-04,410
2010-07-04 10:58:00,2010-07-04,384
2010-07-04 10:59:00,2010-07-04,943
2010-07-04 11:00:00,2010-07-04,566
2010-07-04 11:01:00,2010-07-04,161
2010-07-04 11:02:00,2010-07-04,296
2010-07-04 11:03:00,2010-07-04,466
2010-07-04 11:04:00,2010-07-04,296
2010-07-04 11:05:00,2010-07-04,755
2010-07-04 11:06:00,2010-07-04,731
2010-07-04 11:07:00,2010-07-04,276
2010-07-04 11:08:00,2010-07-04,233
2010-07-04 11:09:00,2010-07-04,129
2010-07-04 11:10:00,2010-07-04,623
2010-07-04 11:11:00,2010-07-04,686
2010-07-04 11:12:00,2010-07-04,452
2010-07-04 11:13:00,2010-07-04,548
2010-07-04 11:14:00,2010-07-04,397
2010-07-04 11:15:00,2010-07-04,498
2010-07-04 11:16:00,2010-07-04,513
2010-07-04 11:17:00,2010-07-04,95
2010-07-04 11:18:00,2010-07-04,306
2010-07-04 11:19:00,2010-07-04,779
2010-07-04 11:20:00,2010-07-04,326
2010-07-04 11:21:00,2010-07-04,466
2010-07-04 11:22:00,2010-07-04,250
2010-07-04 11:23:00,2010-07-04,708
2010-07-04 11:24:00,2010-07-04,0
2010-07-04 11:25:00,2010-07-04,0
2010-07-04 11:26:00,2010-07-04,0
2010-07-04 11:27:00,2010-07-04,0
2010-07-04 11:28:00,2010-07-04,0
2010-07-04 11:29:00,2010-07-04,0
2010-07-04 11:30:00,2010-07-04,0
2010-07-04 11:31:00,2010-07-04,0
2010-07-04 11:32:00,2010-07-04,0
2010-07-04 11:33:00,2010-07-04,0
2010-07-04 11:34:00,2010-07-04,603
2010-07-04 11:35:00,2010-07-04,498
2010-07-04 11:36:00,2010-07-04,424
2010-07-04 11:37:00,2010-07-04,438
2010-07-04 11:38:00,2010-07-04,226
2010-07-04 11:39:00,2010-07-04,100
2010-07-04 11:40:00,2010-07-04,371
2010-07-04 11:41:00,2010-07-04,482
2010-07-04 11:42:00,2010-07-04,7
2010-07-04 11:43:00,2010-07-04,250
2010-07-04 11:44:00,2010-07-04,104
2010-07-04 11:45:00,2010-07-04,129
2010-07-04 11:46:00,2010-07-04,384
2010-07-04 11:47:00,2010-07-04,530
2010-07-04 11:48:00,2010-07-04,360
2010-07-04 11:49:00,2010-07-04,161
2010-07-04 11:50:00,2010-07-04,242
2010-07-04 11:51:00,2010-07-04,144
2010-07-04 11:52:00,2010-07-04,371
2010-07-04 11:53:00,2010-07-04,566
