timestamp,date,activity
2003-02-06 08:00:00,2003-02-06,386
2003-02-06 08:01:00,2003-02-06,439
2003-02-06 08:02:00,2003-02-06,286
2003-02-06 08:03:00,2003-02-06,328
2003-02-06 08:04:00,2003-02-06,349
2003-02-06 08:05:00,2003-02-06,349
2003-02-06 08:06:00,2003-02-06,102
2003-02-06 08:07:00,2003-02-06,61
2003-02-06 08:08:00,2003-02-06,130
2003-02-06 08:09:00,2003-02-06,79
2003-02-06 08:10:00,2003-02-06,190
2003-02-06 08:11:00,2003-02-06,454
2003-02-06 08:12:00,2003-02-06,277
2003-02-06 08:13:00,2003-02-06,306
2003-02-06 08:14:00,2003-02-06,306
2003-02-06 08:15:00,2003-02-06,250
2003-02-06 08:16:00,2003-02-06,219
2003-02-06 08:17:00,2003-02-06,296
2003-02-06 08:18:00,2003-02-06,296
2003-02-06 08:19:00,2003-02-06,184
2003-02-06 08:20:00,2003-02-06,349
2003-02-06 08:21:00,2003-02-06,411
2003-02-06 08:22:00,2003-02-06,373
2003-02-06 08:23:00,2003-02-06,268
2003-02-06 08:24:00,2003-02-06,204
2003-02-06 08:25:00,2003-02-06,277
2003-02-06 08:26:00,2003-02-06,277
2003-02-06 08:27:00,2003-02-06,120
2003-02-06 08:28:00,2003-02-06,197
2003-02-06 08:29:00,2003-02-06,88
2003-02-06 08:30:00,2003-02-06,52
2003-02-06 08:31:00,2003-02-06,49
2003-02-06 08:32:00,2003-02-06,286
2003-02-06 08:33:00,2003-02-06,469
2003-02-06 08:34:00,2003-02-06,1010
2003-02-06 08:35:00,2003-02-06,386
2003-02-06 08:36:00,2003-02-06,1428
2003-02-06 08:37:00,2003-02-06,568
2003-02-06 08:38:00,2003-02-06,606
2003-02-06 08:39:00,2003-02-06,485
2003-02-06 08:40:00,2003-02-06,454
2003-02-06 08:41:00,2003-02-06,425
2003-02-06 08:42:00,2003-02-06,454
2003-02-06 08:43:00,2003-02-06,82
2003-02-06 08:44:00,2003-02-06,125
2003-02-06 08:45:00,2003-02-06,107
2003-02-06 08:46:00,2003-02-06,8
2003-02-06 08:47:00,2003-02-06,73
2003-02-06 08:48:00,2003-02-06,43
2003-02-06 08:49:00,2003-02-06,73
2003-02-06 08:50:00,2003-02-06,197
2003-02-06 08:51:00,2003-02-06,49
2003-02-06 08:52:00,2003-02-06,212
2003-02-06 08:53:00,2003-02-06,373
2003-02-06 08:54:00,2003-02-06,550
2003-02-06 08:55:00,2003-02-06,1221
2003-02-06 08:56:00,2003-02-06,667
2003-02-06 08:57:00,2003-02-06,116
2003-02-06 08:58:00,2003-02-06,242
2003-02-06 08:59:00,2003-02-06,646
2003-02-06 09:00:00,2003-02-06,328
2003-02-06 09:01:00,2003-02-06,306
2003-02-06 09:02:00,2003-02-06,626
2003-02-06 09:03:00,2003-02-06,386
2003-02-06 09:04:00,2003-02-06,160
2003-02-06 09:05:00,2003-02-06,338
2003-02-06 09:06:00,2003-02-06,125
2003-02-06 09:07:00,2003-02-06,219
2003-02-06 09:08:00,2003-02-06,154
2003-02-06 09:09:00,2003-02-06,143
2003-02-06 09:10:00,2003-02-06,517
2003-02-06 09:11:00,2003-02-06,9
2003-02-06 09:12:00,2003-02-06,178
2003-02-06 09:13:00,2003-02-06,338
2003-02-06 09:14:00,2003-02-06,328
2003-02-06 09:15:00,2003-02-06,154
2003-02-06 09:16:00,2003-02-06,361
2003-02-06 09:17:00,2003-02-06,120
2003-02-06 09:18:00,2003-02-06,454
2003-02-06 09:19:00,2003-02-06,626
2003-02-06 09:20:00,2003-02-06,212
2003-02-06 09:21:00,2003-02-06,184
2003-02-06 09:22:00,2003-02-06,587
2003-02-06 09:23:00,2003-02-06,197
2003-02-06 09:24:00,2003-02-06,154
2003-02-06 09:25:00,2003-02-06,587
2003-02-06 09:26:00,2003-02-06,809
2003-02-06 09:27:00,2003-02-06,568
2003-02-06 09:28:00,2003-02-06,809
2003-02-06 09:29:00,2003-02-06,626
2003-02-06 09:30:00,2003-02-06,454
2003-02-06 09:31:00,2003-02-06,517
2003-02-06 09:32:00,2003-02-06,454
2003-02-06 09:33:00,2003-02-06,469
2003-02-06 09:34:00,2003-02-06,568
2003-02-06 09:35:00,2003-02-06,259
2003-02-06 09:36:00,2003-02-06,689
2003-02-06 09:37:00,2003-02-06,485
2003-02-06 09:38:00,2003-02-06,469
2003-02-06 09:39:00,2003-02-06,361
2003-02-06 09:40:00,2003-02-06,550
2003-02-06 09:41:00,2003-02-06,454
2003-02-06 09:42:00,2003-02-06,500
2003-02-06 09:43:00,2003-02-06,235
2003-02-06 09:44:00,2003-02-06,277
2003-02-06 09:45:00,2003-02-06,250
2003-02-06 09:46:00,2003-02-06,235
2003-02-06 09:47:00,2003-02-06,398
2003-02-06 09:48:00,2003-02-06,890
2003-02-06 09:49:00,2003-02-06,411
2003-02-06 09:50:00,2003-02-06,328
2003-02-06 09:51:00,2003-02-06,49
2003-02-06 09:52:00,2003-02-06,23
2003-02-06 09:53:00,2003-02-06,82
2003-02-06 09:54:00,2003-02-06,219
2003-02-06 09:55:00,2003-02-06,411
2003-02-06 09:56:00,2003-02-06,268
2003-02-06 09:57:00,2003-02-06,286
2003-02-06 09:58:00,2003-02-06,454
2003-02-06 09:59:00,2003-02-06,411
2003-02-06 10:00:00,2003-02-06,667
2003-02-06 10:01:00,2003-02-06,102
2003-02-06 10:02:00,2003-02-06,689
2003-02-06 10:03:00,2003-02-06,349
2003-02-06 10:04:00,2003-02-06,500
2003-02-06 10:05:00,2003-02-06,277
2003-02-06 10:06:00,2003-02-06,734
2003-02-06 10:07:00,2003-02-06,439
2003-02-06 10:08:00,2003-02-06,235
2003-02-06 10:09:00,2003-02-06,533
2003-02-06 10:10:00,2003-02-06,70
2003-02-06 10:11:00,2003-02-06,425
2003-02-06 10:12:00,2003-02-06,178
2003-02-06 10:13:00,2003-02-06,250
2003-02-06 10:14:00,2003-02-06,500
2003-02-06 10:15:00,2003-02-06,1620
2003-02-06 10:16:00,2003-02-06,890
2003-02-06 10:17:00,2003-02-06,734
2003-02-06 10:18:00,2003-02-06,734
2003-02-06 10:19:00,2003-02-06,587
2003-02-06 10:20:00,2003-02-06,148
2003-02-06 10:21:00,2003-02-06,919
2003-02-06 10:22:00,2003-02-06,411
2003-02-06 10:23:00,2003-02-06,219
2003-02-06 10:24:00,2003-02-06,550
2003-02-06 10:25:00,2003-02-06,712
2003-02-06 10:26:00,2003-02-06,626
2003-02-06 10:27:00,2003-02-06,197
2003-02-06 10:28:00,2003-02-06,411
2003-02-06 10:29:00,2003-02-06,398
2003-02-06 10:30:00,2003-02-06,411
2003-02-06 10:31:00,2003-02-06,317
2003-02-06 10:32:00,2003-02-06,139
2003-02-06 10:33:00,2003-02-06,82
2003-02-06 10:34:00,2003-02-06,485
2003-02-06 10:35:00,2003-02-06,517
2003-02-06 10:36:00,2003-02-06,306
2003-02-06 10:37:00,2003-02-06,517
2003-02-06 10:38:00,2003-02-06,500
2003-02-06 10:39:00,2003-02-06,667
2003-02-06 10:40:00,2003-02-06,1010
2003-02-06 10:41:00,2003-02-06,439
2003-02-06 10:42:00,2003-02-06,646
2003-02-06 10:43:00,2003-02-06,809
2003-02-06 10:44:00,2003-02-06,154
2003-02-06 10:45:00,2003-02-06,809
2003-02-06 10:46:00,2003-02-06,439
2003-02-06 10:47:00,2003-02-06,712
2003-02-06 10:48:00,2003-02-06,809
2003-02-06 10:49:00,2003-02-06,759
2003-02-06 10:50:00,2003-02-06,835
2003-02-06 10:51:00,2003-02-06,626
2003-02-06 10:52:00,2003-02-06,425
2003-02-06 10:53:00,2003-02-06,178
2003-02-06 10:54:00,2003-02-06,533
2003-02-06 10:55:00,2003-02-06,184
2003-02-06 10:56:00,2003-02-06,349
2003-02-06 10:57:00,2003-02-06,587
2003-02-06 10:58:00,2003-02-06,306
2003-02-06 10:59:00,2003-02-06,317
2003-02-06 11:00:00,2003-02-06,517
2003-02-06 11:01:00,2003-02-06,759
2003-02-06 11:02:00,2003-02-06,587
2003-02-06 11:03:00,2003-02-06,286
2003-02-06 11:04:00,2003-02-06,500
2003-02-06 11:05:00,2003-02-06,550
2003-02-06 11:06:00,2003-02-06,500
2003-02-06 11:07:00,2003-02-06,439
2003-02-06 11:08:00,2003-02-06,398
2003-02-06 11:09:00,2003-02-06,568
2003-02-06 11:10:00,2003-02-06,626
2003-02-06 11:11:00,2003-02-06,533
2003-02-06 11:12:00,2003-02-06,306
2003-02-06 11:13:00,2003-02-06,172
2003-02-06 11:14:00,2003-02-06,242
2003-02-06 11:15:00,2003-02-06,425
2003-02-06 11:16:00,2003-02-06,809
2003-02-06 11:17:00,2003-02-06,862
2003-02-06 11:18:00,2003-02-06,809
2003-02-06 11:19:00,2003-02-06,667
2003-02-06 11:20:00,2003-02-06,259
2003-02-06 11:21:00,2003-02-06,948
2003-02-06 11:22:00,2003-02-06,919
2003-02-06 11:23:00,2003-02-06,517
2003-02-06 11:24:00,2003-02-06,386
2003-02-06 11:25:00,2003-02-06,55
2003-02-06 11:26:00,2003-02-06,130
2003-02-06 11:27:00,2003-02-06,454
2003-02-06 11:28:00,2003-02-06,184
2003-02-06 11:29:00,2003-02-06,328
2003-02-06 11:30:00,2003-02-06,166
2003-02-06 11:31:00,2003-02-06,259
2003-02-06 11:32:00,2003-02-06,120
2003-02-06 11:33:00,2003-02-06,14
2003-02-06 11:34:00,2003-02-06,73
2003-02-06 11:35:00,2003-02-06,44
2003-02-06 11:36:00,2003-02-06,349
2003-02-06 11:37:00,2003-02-06,219
2003-02-06 11:38:00,2003-02-06,52
2003-02-06 11:39:00,2003-02-06,21
2003-02-06 11:40:00,2003-02-06,12
2003-02-06 11:41:00,2003-02-06,277
2003-02-06 11:42:00,2003-02-06,485
2003-02-06 11:43:00,2003-02-06,94
2003-02-06 11:44:00,2003-02-06,533
2003-02-06 11:45:00,2003-02-06,338
2003-02-06 11:46:00,2003-02-06,349
2003-02-06 11:47:00,2003-02-06,227
2003-02-06 11:48:00,2003-02-06,712
2003-02-06 11:49:00,2003-02-06,160
2003-02-06 11:50:00,2003-02-06,439
2003-02-06 11:51:00,2003-02-06,0
2003-02-06 11:52:00,2003-02-06,626
2003-02-06 11:53:00,2003-02-06,667
2003-02-06 11:54:00,2003-02-06,485
2003-02-06 11:55:00,2003-02-06,517
2003-02-06 11:56:00,2003-02-06,809
2003-02-06 11:57:00,2003-02-06,835
2003-02-06 11:58:00,2003-02-06,338
2003-02-06 11:59:00,2003-02-06,978
2003-02-06 12:00:00,2003-02-06,550
2003-02-06 12:01:00,2003-02-06,978
2003-02-06 12:02:00,2003-02-06,1620
2003-02-06 12:03:00,2003-02-06,439
2003-02-06 12:04:00,2003-02-06,759
2003-02-06 12:05:00,2003-02-06,469
2003-02-06 12:06:00,2003-02-06,439
2003-02-06 12:07:00,2003-02-06,125
2003-02-06 12:08:00,2003-02-06,398
2003-02-06 12:09:00,2003-02-06,40
2003-02-06 12:10:00,2003-02-06,398
2003-02-06 12:11:00,2003-02-06,712
2003-02-06 12:12:00,2003-02-06,759
2003-02-06 12:13:00,2003-02-06,606
2003-02-06 12:14:00,2003-02-06,712
2003-02-06 12:15:00,2003-02-06,809
2003-02-06 12:16:00,2003-02-06,587
2003-02-06 12:17:00,2003-02-06,646
2003-02-06 12:18:00,2003-02-06,626
2003-02-06 12:19:00,2003-02-06,646
2003-02-06 12:20:00,2003-02-06,809
2003-02-06 12:21:00,2003-02-06,646
2003-02-06 12:22:00,2003-02-06,835
2003-02-06 12:23:00,2003-02-06,809
2003-02-06 12:24:00,2003-02-06,783
2003-02-06 12:25:00,2003-02-06,27
2003-02-06 12:26:00,2003-02-06,52
2003-02-06 12:27:00,2003-02-06,52
2003-02-06 12:28:00,2003-02-06,1260
2003-02-06 12:29:00,2003-02-06,454
2003-02-06 12:30:00,2003-02-06,454
2003-02-06 12:31:00,2003-02-06,454
2003-02-06 12:32:00,2003-02-06,469
2003-02-06 12:33:00,2003-02-06,306
2003-02-06 12:34:00,2003-02-06,178
2003-02-06 12:35:00,2003-02-06,111
2003-02-06 12:36:00,2003-02-06,32
2003-02-06 12:37:00,2003-02-06,268
2003-02-06 12:38:00,2003-02-06,454
2003-02-06 12:39:00,2003-02-06,306
2003-02-06 12:40:00,2003-02-06,277
2003-02-06 12:41:00,2003-02-06,44
2003-02-06 12:42:00,2003-02-06,18
2003-02-06 12:43:00,2003-02-06,49
2003-02-06 12:44:00,2003-02-06,130
2003-02-06 12:45:00,2003-02-06,55
2003-02-06 12:46:00,2003-02-06,79
2003-02-06 12:47:00,2003-02-06,46
2003-02-06 12:48:00,2003-02-06,0
2003-02-06 12:49:00,2003-02-06,268
2003-02-06 12:50:00,2003-02-06,160
2003-02-06 12:51:00,2003-02-06,11
2003-02-06 12:52:00,2003-02-06,17
2003-02-06 12:53:00,2003-02-06,52
2003-02-06 12:54:00,2003-02-06,242
2003-02-06 12:55:00,2003-02-06,259
2003-02-06 12:56:00,2003-02-06,12
2003-02-06 12:57:00,2003-02-06,55
2003-02-06 12:58:00,2003-02-06,227
2003-02-06 12:59:00,2003-02-06,286
2003-02-06 13:00:00,2003-02-06,212
2003-02-06 13:01:00,2003-02-06,52
2003-02-06 13:02:00,2003-02-06,0
2003-02-06 13:03:00,2003-02-06,3
2003-02-06 13:04:00,2003-02-06,3
2003-02-06 13:05:00,2003-02-06,9
