timestamp,date,activity
2004-02-05 08:00:00,2004-02-05,58
2004-02-05 08:01:00,2004-02-05,0
2004-02-05 08:02:00,2004-02-05,1780
2004-02-05 08:03:00,2004-02-05,712
2004-02-05 08:04:00,2004-02-05,759
2004-02-05 08:05:00,2004-02-05,154
2004-02-05 08:06:00,2004-02-05,0
2004-02-05 08:07:00,2004-02-05,0
2004-02-05 08:08:00,2004-02-05,0
2004-02-05 08:09:00,2004-02-05,0
2004-02-05 08:10:00,2004-02-05,3
2004-02-05 08:11:00,2004-02-05,0
2004-02-05 08:12:00,2004-02-05,439
2004-02-05 08:13:00,2004-02-05,143
2004-02-05 08:14:00,2004-02-05,12
2004-02-05 08:15:00,2004-02-05,550
2004-02-05 08:16:00,2004-02-05,606
2004-02-05 08:17:00,2004-02-05,235
2004-02-05 08:18:00,2004-02-05,148
2004-02-05 08:19:00,2004-02-05,30
2004-02-05 08:20:00,2004-02-05,398
2004-02-05 08:21:00,2004-02-05,91
2004-02-05 08:22:00,2004-02-05,12
2004-02-05 08:23:00,2004-02-05,439
2004-02-05 08:24:00,2004-02-05,454
2004-02-05 08:25:00,2004-02-05,0
2004-02-05 08:26:00,2004-02-05,67
2004-02-05 08:27:00,2004-02-05,0
2004-02-05 08:28:00,2004-02-05,18
2004-02-05 08:29:00,2004-02-05,0
2004-02-05 08:30:00,2004-02-05,0
2004-02-05 08:31:00,2004-02-05,8
2004-02-05 08:32:00,2004-02-05,0
2004-02-05 08:33:00,2004-02-05,184
2004-02-05 08:34:00,2004-02-05,0
2004-02-05 08:35:00,2004-02-05,0
2004-02-05 08:36:00,2004-02-05,0
2004-02-05 08:37:00,2004-02-05,0
2004-02-05 08:38:00,2004-02-05,184
2004-02-05 08:39:00,2004-02-05,0
2004-02-05 08:40:00,2004-02-05,259
2004-02-05 08:41:00,2004-02-05,3
2004-02-05 08:42:00,2004-02-05,0
2004-02-05 08:43:00,2004-02-05,3
2004-02-05 08:44:00,2004-02-05,0
2004-02-05 08:45:00,2004-02-05,11
2004-02-05 08:46:00,2004-02-05,0
2004-02-05 08:47:00,2004-02-05,0
2004-02-05 08:48:00,2004-02-05,0
2004-02-05 08:49:00,2004-02-05,40
2004-02-05 08:50:00,2004-02-05,0
2004-02-05 08:51:00,2004-02-05,712
2004-02-05 08:52:00,2004-02-05,533
2004-02-05 08:53:00,2004-02-05,1341
2004-02-05 08:54:00,2004-02-05,809
2004-02-05 08:55:00,2004-02-05,1300
2004-02-05 08:56:00,2004-02-05,890
2004-02-05 08:57:00,2004-02-05,550
2004-02-05 08:58:00,2004-02-05,646
2004-02-05 08:59:00,2004-02-05,689
2004-02-05 09:00:00,2004-02-05,52
2004-02-05 09:01:00,2004-02-05,835
2004-02-05 09:02:00,2004-02-05,296
2004-02-05 09:03:00,2004-02-05,5
2004-02-05 09:04:00,2004-02-05,111
2004-02-05 09:05:00,2004-02-05,485
2004-02-05 09:06:00,2004-02-05,235
2004-02-05 09:07:00,2004-02-05,1384
2004-02-05 09:08:00,2004-02-05,373
2004-02-05 09:09:00,2004-02-05,568
2004-02-05 09:10:00,2004-02-05,517
2004-02-05 09:11:00,2004-02-05,76
2004-02-05 09:12:00,2004-02-05,184
2004-02-05 09:13:00,2004-02-05,116
2004-02-05 09:14:00,2004-02-05,125
2004-02-05 09:15:00,2004-02-05,184
2004-02-05 09:16:00,2004-02-05,52
2004-02-05 09:17:00,2004-02-05,3
2004-02-05 09:18:00,2004-02-05,32
2004-02-05 09:19:00,2004-02-05,94
2004-02-05 09:20:00,2004-02-05,277
2004-02-05 09:21:00,2004-02-05,212
2004-02-05 09:22:00,2004-02-05,120
2004-02-05 09:23:00,2004-02-05,107
2004-02-05 09:24:00,2004-02-05,98
2004-02-05 09:25:00,2004-02-05,626
2004-02-05 09:26:00,2004-02-05,712
2004-02-05 09:27:00,2004-02-05,250
2004-02-05 09:28:00,2004-02-05,398
2004-02-05 09:29:00,2004-02-05,734
2004-02-05 09:30:00,2004-02-05,533
2004-02-05 09:31:00,2004-02-05,349
2004-02-05 09:32:00,2004-02-05,646
2004-02-05 09:33:00,2004-02-05,73
2004-02-05 09:34:00,2004-02-05,172
2004-02-05 09:35:00,2004-02-05,0
2004-02-05 09:36:00,2004-02-05,0
2004-02-05 09:37:00,2004-02-05,98
2004-02-05 09:38:00,2004-02-05,250
2004-02-05 09:39:00,2004-02-05,130
2004-02-05 09:40:00,2004-02-05,0
2004-02-05 09:41:00,2004-02-05,49
2004-02-05 09:42:00,2004-02-05,235
2004-02-05 09:43:00,2004-02-05,143
2004-02-05 09:44:00,2004-02-05,0
2004-02-05 09:45:00,2004-02-05,3
2004-02-05 09:46:00,2004-02-05,23
2004-02-05 09:47:00,2004-02-05,485
2004-02-05 09:48:00,2004-02-05,1384
2004-02-05 09:49:00,2004-02-05,517
2004-02-05 09:50:00,2004-02-05,197
2004-02-05 09:51:00,2004-02-05,268
2004-02-05 09:52:00,2004-02-05,134
2004-02-05 09:53:00,2004-02-05,85
2004-02-05 09:54:00,2004-02-05,154
2004-02-05 09:55:00,2004-02-05,6
2004-02-05 09:56:00,2004-02-05,102
2004-02-05 09:57:00,2004-02-05,102
2004-02-05 09:58:00,2004-02-05,235
2004-02-05 09:59:00,2004-02-05,20
2004-02-05 10:00:00,2004-02-05,0
2004-02-05 10:01:00,2004-02-05,8
2004-02-05 10:02:00,2004-02-05,0
2004-02-05 10:03:00,2004-02-05,98
2004-02-05 10:04:00,2004-02-05,0
2004-02-05 10:05:00,2004-02-05,0
2004-02-05 10:06:00,2004-02-05,759
2004-02-05 10:07:00,2004-02-05,809
2004-02-05 10:08:00,2004-02-05,439
2004-02-05 10:09:00,2004-02-05,783
2004-02-05 10:10:00,2004-02-05,485
2004-02-05 10:11:00,2004-02-05,250
2004-02-05 10:12:00,2004-02-05,3
2004-02-05 10:13:00,2004-02-05,8
2004-02-05 10:14:00,2004-02-05,212
2004-02-05 10:15:00,2004-02-05,0
2004-02-05 10:16:00,2004-02-05,37
2004-02-05 10:17:00,2004-02-05,250
2004-02-05 10:18:00,2004-02-05,439
2004-02-05 10:19:00,2004-02-05,61
2004-02-05 10:20:00,2004-02-05,166
2004-02-05 10:21:00,2004-02-05,5
2004-02-05 10:22:00,2004-02-05,439
2004-02-05 10:23:00,2004-02-05,667
2004-02-05 10:24:00,2004-02-05,1146
2004-02-05 10:25:00,2004-02-05,349
2004-02-05 10:26:00,2004-02-05,306
2004-02-05 10:27:00,2004-02-05,67
2004-02-05 10:28:00,2004-02-05,52
2004-02-05 10:29:00,2004-02-05,296
2004-02-05 10:30:00,2004-02-05,0
2004-02-05 10:31:00,2004-02-05,759
2004-02-05 10:32:00,2004-02-05,606
2004-02-05 10:33:00,2004-02-05,425
2004-02-05 10:34:00,2004-02-05,587
2004-02-05 10:35:00,2004-02-05,646
2004-02-05 10:36:00,2004-02-05,349
2004-02-05 10:37:00,2004-02-05,550
2004-02-05 10:38:00,2004-02-05,587
2004-02-05 10:39:00,2004-02-05,689
2004-02-05 10:40:00,2004-02-05,667
2004-02-05 10:41:00,2004-02-05,76
2004-02-05 10:42:00,2004-02-05,139
2004-02-05 10:43:00,2004-02-05,3
2004-02-05 10:44:00,2004-02-05,568
2004-02-05 10:45:00,2004-02-05,439
2004-02-05 10:46:00,2004-02-05,197
2004-02-05 10:47:00,2004-02-05,70
2004-02-05 10:48:00,2004-02-05,250
2004-02-05 10:49:00,2004-02-05,55
2004-02-05 10:50:00,2004-02-05,0
2004-02-05 10:51:00,2004-02-05,9
2004-02-05 10:52:00,2004-02-05,15
2004-02-05 10:53:00,2004-02-05,0
2004-02-05 10:54:00,2004-02-05,82
2004-02-05 10:55:00,2004-02-05,190
2004-02-05 10:56:00,2004-02-05,296
2004-02-05 10:57:00,2004-02-05,411
2004-02-05 10:58:00,2004-02-05,0
2004-02-05 10:59:00,2004-02-05,102
2004-02-05 11:00:00,2004-02-05,64
2004-02-05 11:01:00,2004-02-05,890
2004-02-05 11:02:00,2004-02-05,667
2004-02-05 11:03:00,2004-02-05,734
2004-02-05 11:04:00,2004-02-05,689
2004-02-05 11:05:00,2004-02-05,550
2004-02-05 11:06:00,2004-02-05,40
2004-02-05 11:07:00,2004-02-05,646
2004-02-05 11:08:00,2004-02-05,94
2004-02-05 11:09:00,2004-02-05,125
2004-02-05 11:10:00,2004-02-05,242
2004-02-05 11:11:00,2004-02-05,646
2004-02-05 11:12:00,2004-02-05,439
2004-02-05 11:13:00,2004-02-05,500
2004-02-05 11:14:00,2004-02-05,0
2004-02-05 11:15:00,2004-02-05,0
2004-02-05 11:16:00,2004-02-05,85
2004-02-05 11:17:00,2004-02-05,212
2004-02-05 11:18:00,2004-02-05,184
2004-02-05 11:19:00,2004-02-05,125
2004-02-05 11:20:00,2004-02-05,485
2004-02-05 11:21:00,2004-02-05,204
2004-02-05 11:22:00,2004-02-05,3
2004-02-05 11:23:00,2004-02-05,227
2004-02-05 11:24:00,2004-02-05,0
2004-02-05 11:25:00,2004-02-05,70
2004-02-05 11:26:00,2004-02-05,0
2004-02-05 11:27:00,2004-02-05,20
2004-02-05 11:28:00,2004-02-05,102
2004-02-05 11:29:00,2004-02-05,235
2004-02-05 11:30:00,2004-02-05,125
2004-02-05 11:31:00,2004-02-05,277
2004-02-05 11:32:00,2004-02-05,606
2004-02-05 11:33:00,2004-02-05,82
2004-02-05 11:34:00,2004-02-05,439
2004-02-05 11:35:00,2004-02-05,646
2004-02-05 11:36:00,2004-02-05,734
2004-02-05 11:37:00,2004-02-05,890
2004-02-05 11:38:00,2004-02-05,978
2004-02-05 11:39:00,2004-02-05,667
2004-02-05 11:40:00,2004-02-05,219
2004-02-05 11:41:00,2004-02-05,469
2004-02-05 11:42:00,2004-02-05,517
2004-02-05 11:43:00,2004-02-05,79
2004-02-05 11:44:00,2004-02-05,3
2004-02-05 11:45:00,2004-02-05,212
2004-02-05 11:46:00,2004-02-05,286
2004-02-05 11:47:00,2004-02-05,317
2004-02-05 11:48:00,2004-02-05,94
2004-02-05 11:49:00,2004-02-05,219
2004-02-05 11:50:00,2004-02-05,0
2004-02-05 11:51:00,2004-02-05,411
2004-02-05 11:52:00,2004-02-05,76
2004-02-05 11:53:00,2004-02-05,587
2004-02-05 11:54:00,2004-02-05,76
2004-02-05 11:55:00,2004-02-05,178
2004-02-05 11:56:00,2004-02-05,606
2004-02-05 11:57:00,2004-02-05,469
2004-02-05 11:58:00,2004-02-05,568
2004-02-05 11:59:00,2004-02-05,454
2004-02-05 12:00:00,2004-02-05,425
2004-02-05 12:01:00,2004-02-05,1010
2004-02-05 12:02:00,2004-02-05,454
2004-02-05 12:03:00,2004-02-05,646
2004-02-05 12:04:00,2004-02-05,373
2004-02-05 12:05:00,2004-02-05,550
2004-02-05 12:06:00,2004-02-05,1221
2004-02-05 12:07:00,2004-02-05,1260
2004-02-05 12:08:00,2004-02-05,550
2004-02-05 12:09:00,2004-02-05,454
2004-02-05 12:10:00,2004-02-05,809
2004-02-05 12:11:00,2004-02-05,250
2004-02-05 12:12:00,2004-02-05,306
2004-02-05 12:13:00,2004-02-05,862
2004-02-05 12:14:00,2004-02-05,373
2004-02-05 12:15:00,2004-02-05,250
2004-02-05 12:16:00,2004-02-05,712
