timestamp,date,activity
2003-05-30 21:00:00,2003-05-30,369
2003-05-30 21:01:00,2003-05-30,421
2003-05-30 21:02:00,2003-05-30,248
2003-05-30 21:03:00,2003-05-30,15
2003-05-30 21:04:00,2003-05-30,5
2003-05-30 21:05:00,2003-05-30,801
2003-05-30 21:06:00,2003-05-30,2131
2003-05-30 21:07:00,2003-05-30,1607
2003-05-30 21:08:00,2003-05-30,1332
2003-05-30 21:09:00,2003-05-30,801
2003-05-30 21:10:00,2003-05-30,828
2003-05-30 21:11:00,2003-05-30,911
2003-05-30 21:12:00,2003-05-30,1034
2003-05-30 21:13:00,2003-05-30,828
2003-05-30 21:14:00,2003-05-30,683
2003-05-30 21:15:00,2003-05-30,854
2003-05-30 21:16:00,2003-05-30,1034
2003-05-30 21:17:00,2003-05-30,1034
2003-05-30 21:18:00,2003-05-30,1137
2003-05-30 21:19:00,2003-05-30,705
2003-05-30 21:20:00,2003-05-30,728
2003-05-30 21:21:00,2003-05-30,801
2003-05-30 21:22:00,2003-05-30,161
2003-05-30 21:23:00,2003-05-30,57
2003-05-30 21:24:00,2003-05-30,60
2003-05-30 21:25:00,2003-05-30,116
2003-05-30 21:26:00,2003-05-30,30
2003-05-30 21:27:00,2003-05-30,70
2003-05-30 21:28:00,2003-05-30,18
2003-05-30 21:29:00,2003-05-30,264
2003-05-30 21:30:00,2003-05-30,283
2003-05-30 21:31:00,2003-05-30,334
2003-05-30 21:32:00,2003-05-30,17
2003-05-30 21:33:00,2003-05-30,175
2003-05-30 21:34:00,2003-05-30,161
2003-05-30 21:35:00,2003-05-30,201
2003-05-30 21:36:00,2003-05-30,293
2003-05-30 21:37:00,2003-05-30,116
2003-05-30 21:38:00,2003-05-30,18
2003-05-30 21:39:00,2003-05-30,17
2003-05-30 21:40:00,2003-05-30,28
2003-05-30 21:41:00,2003-05-30,7
2003-05-30 21:42:00,2003-05-30,273
2003-05-30 21:43:00,2003-05-30,156
2003-05-30 21:44:00,2003-05-30,15
2003-05-30 21:45:00,2003-05-30,5
2003-05-30 21:46:00,2003-05-30,15
2003-05-30 21:47:00,2003-05-30,181
2003-05-30 21:48:00,2003-05-30,303
2003-05-30 21:49:00,2003-05-30,214
2003-05-30 21:50:00,2003-05-30,188
2003-05-30 21:51:00,2003-05-30,239
2003-05-30 21:52:00,2003-05-30,911
2003-05-30 21:53:00,2003-05-30,293
2003-05-30 21:54:00,2003-05-30,449
2003-05-30 21:55:00,2003-05-30,434
2003-05-30 21:56:00,2003-05-30,911
2003-05-30 21:57:00,2003-05-30,564
2003-05-30 21:58:00,2003-05-30,293
2003-05-30 21:59:00,2003-05-30,369
2003-05-30 22:00:00,2003-05-30,322
2003-05-30 22:01:00,2003-05-30,264
2003-05-30 22:02:00,2003-05-30,357
2003-05-30 22:03:00,2003-05-30,322
2003-05-30 22:04:00,2003-05-30,208
2003-05-30 22:05:00,2003-05-30,194
2003-05-30 22:06:00,2003-05-30,322
2003-05-30 22:07:00,2003-05-30,264
2003-05-30 22:08:00,2003-05-30,421
2003-05-30 22:09:00,2003-05-30,322
2003-05-30 22:10:00,2003-05-30,273
2003-05-30 22:11:00,2003-05-30,231
2003-05-30 22:12:00,2003-05-30,201
2003-05-30 22:13:00,2003-05-30,181
2003-05-30 22:14:00,2003-05-30,181
2003-05-30 22:15:00,2003-05-30,239
2003-05-30 22:16:00,2003-05-30,136
2003-05-30 22:17:00,2003-05-30,256
2003-05-30 22:18:00,2003-05-30,449
2003-05-30 22:19:00,2003-05-30,181
2003-05-30 22:20:00,2003-05-30,248
2003-05-30 22:21:00,2003-05-30,214
2003-05-30 22:22:00,2003-05-30,334
2003-05-30 22:23:00,2003-05-30,529
2003-05-30 22:24:00,2003-05-30,116
2003-05-30 22:25:00,2003-05-30,449
2003-05-30 22:26:00,2003-05-30,728
2003-05-30 22:27:00,2003-05-30,231
2003-05-30 22:28:00,2003-05-30,181
2003-05-30 22:29:00,2003-05-30,495
2003-05-30 22:30:00,2003-05-30,911
2003-05-30 22:31:00,2003-05-30,512
2003-05-30 22:32:00,2003-05-30,683
2003-05-30 22:33:00,2003-05-30,434
2003-05-30 22:34:00,2003-05-30,369
2003-05-30 22:35:00,2003-05-30,322
2003-05-30 22:36:00,2003-05-30,334
2003-05-30 22:37:00,2003-05-30,600
2003-05-30 22:38:00,2003-05-30,421
2003-05-30 22:39:00,2003-05-30,421
2003-05-30 22:40:00,2003-05-30,479
2003-05-30 22:41:00,2003-05-30,273
2003-05-30 22:42:00,2003-05-30,293
2003-05-30 22:43:00,2003-05-30,545
2003-05-30 22:44:00,2003-05-30,600
2003-05-30 22:45:00,2003-05-30,479
2003-05-30 22:46:00,2003-05-30,883
2003-05-30 22:47:00,2003-05-30,283
2003-05-30 22:48:00,2003-05-30,600
2003-05-30 22:49:00,2003-05-30,1102
2003-05-30 22:50:00,2003-05-30,640
2003-05-30 22:51:00,2003-05-30,971
2003-05-30 22:52:00,2003-05-30,683
2003-05-30 22:53:00,2003-05-30,728
2003-05-30 22:54:00,2003-05-30,1250
2003-05-30 22:55:00,2003-05-30,223
2003-05-30 22:56:00,2003-05-30,322
2003-05-30 22:57:00,2003-05-30,256
2003-05-30 22:58:00,2003-05-30,201
2003-05-30 22:59:00,2003-05-30,256
2003-05-30 23:00:00,2003-05-30,434
2003-05-30 23:01:00,2003-05-30,495
2003-05-30 23:02:00,2003-05-30,381
2003-05-30 23:03:00,2003-05-30,214
2003-05-30 23:04:00,2003-05-30,407
2003-05-30 23:05:00,2003-05-30,381
2003-05-30 23:06:00,2003-05-30,449
2003-05-30 23:07:00,2003-05-30,293
2003-05-30 23:08:00,2003-05-30,80
2003-05-30 23:09:00,2003-05-30,264
2003-05-30 23:10:00,2003-05-30,208
2003-05-30 23:11:00,2003-05-30,181
2003-05-30 23:12:00,2003-05-30,334
2003-05-30 23:13:00,2003-05-30,883
2003-05-30 23:14:00,2003-05-30,407
2003-05-30 23:15:00,2003-05-30,381
2003-05-30 23:16:00,2003-05-30,168
2003-05-30 23:17:00,2003-05-30,854
2003-05-30 23:18:00,2003-05-30,357
2003-05-30 23:19:00,2003-05-30,156
2003-05-30 23:20:00,2003-05-30,111
2003-05-30 23:21:00,2003-05-30,208
2003-05-30 23:22:00,2003-05-30,283
2003-05-30 23:23:00,2003-05-30,239
2003-05-30 23:24:00,2003-05-30,231
2003-05-30 23:25:00,2003-05-30,60
2003-05-30 23:26:00,2003-05-30,126
2003-05-30 23:27:00,2003-05-30,194
2003-05-30 23:28:00,2003-05-30,146
2003-05-30 23:29:00,2003-05-30,141
2003-05-30 23:30:00,2003-05-30,283
2003-05-30 23:31:00,2003-05-30,146
2003-05-30 23:32:00,2003-05-30,449
2003-05-30 23:33:00,2003-05-30,479
2003-05-30 23:34:00,2003-05-30,223
2003-05-30 23:35:00,2003-05-30,188
2003-05-30 23:36:00,2003-05-30,394
2003-05-30 23:37:00,2003-05-30,434
2003-05-30 23:38:00,2003-05-30,564
2003-05-30 23:39:00,2003-05-30,283
2003-05-30 23:40:00,2003-05-30,208
2003-05-30 23:41:00,2003-05-30,111
2003-05-30 23:42:00,2003-05-30,421
2003-05-30 23:43:00,2003-05-30,208
2003-05-30 23:44:00,2003-05-30,322
2003-05-30 23:45:00,2003-05-30,293
2003-05-30 23:46:00,2003-05-30,381
2003-05-30 23:47:00,2003-05-30,136
2003-05-30 23:48:00,2003-05-30,116
2003-05-30 23:49:00,2003-05-30,126
2003-05-30 23:50:00,2003-05-30,239
2003-05-30 23:51:00,2003-05-30,194
2003-05-30 23:52:00,2003-05-30,464
2003-05-30 23:53:00,2003-05-30,464
2003-05-30 23:54:00,2003-05-30,564
2003-05-30 23:55:00,2003-05-30,971
2003-05-30 23:56:00,2003-05-30,1034
2003-05-30 23:57:00,2003-05-30,640
2003-05-30 23:58:00,2003-05-30,146
2003-05-30 23:59:00,2003-05-30,911
2003-05-31 00:00:00,2003-05-31,600
2003-05-31 00:01:00,2003-05-31,303
2003-05-31 00:02:00,2003-05-31,293
2003-05-31 00:03:00,2003-05-31,303
2003-05-31 00:04:00,2003-05-31,283
2003-05-31 00:05:00,2003-05-31,421
2003-05-31 00:06:00,2003-05-31,223
2003-05-31 00:07:00,2003-05-31,322
2003-05-31 00:08:00,2003-05-31,434
2003-05-31 00:09:00,2003-05-31,76
2003-05-31 00:10:00,2003-05-31,239
2003-05-31 00:11:00,2003-05-31,239
2003-05-31 00:12:00,2003-05-31,239
2003-05-31 00:13:00,2003-05-31,303
2003-05-31 00:14:00,2003-05-31,369
2003-05-31 00:15:00,2003-05-31,256
2003-05-31 00:16:00,2003-05-31,168
2003-05-31 00:17:00,2003-05-31,181
2003-05-31 00:18:00,2003-05-31,194
2003-05-31 00:19:00,2003-05-31,705
2003-05-31 00:20:00,2003-05-31,421
2003-05-31 00:21:00,2003-05-31,1034
2003-05-31 00:22:00,2003-05-31,1002
2003-05-31 00:23:00,2003-05-31,1418
2003-05-31 00:24:00,2003-05-31,854
2003-05-31 00:25:00,2003-05-31,883
2003-05-31 00:26:00,2003-05-31,828
2003-05-31 00:27:00,2003-05-31,1290
2003-05-31 00:28:00,2003-05-31,620
2003-05-31 00:29:00,2003-05-31,941
2003-05-31 00:30:00,2003-05-31,231
2003-05-31 00:31:00,2003-05-31,208
2003-05-31 00:32:00,2003-05-31,60
2003-05-31 00:33:00,2003-05-31,126
2003-05-31 00:34:00,2003-05-31,146
2003-05-31 00:35:00,2003-05-31,22
2003-05-31 00:36:00,2003-05-31,7
2003-05-31 00:37:00,2003-05-31,7
2003-05-31 00:38:00,2003-05-31,5
2003-05-31 00:39:00,2003-05-31,5
2003-05-31 00:40:00,2003-05-31,5
2003-05-31 00:41:00,2003-05-31,5
2003-05-31 00:42:00,2003-05-31,5
2003-05-31 00:43:00,2003-05-31,86
2003-05-31 00:44:00,2003-05-31,60
2003-05-31 00:45:00,2003-05-31,7
2003-05-31 00:46:00,2003-05-31,7
2003-05-31 00:47:00,2003-05-31,188
2003-05-31 00:48:00,2003-05-31,357
2003-05-31 00:49:00,2003-05-31,22
2003-05-31 00:50:00,2003-05-31,7
2003-05-31 00:51:00,2003-05-31,22
2003-05-31 00:52:00,2003-05-31,22
2003-05-31 00:53:00,2003-05-31,15
2003-05-31 00:54:00,2003-05-31,7
2003-05-31 00:55:00,2003-05-31,30
2003-05-31 00:56:00,2003-05-31,7
2003-05-31 00:57:00,2003-05-31,495
