timestamp,date,activity
2003-11-29 21:00:00,2003-11-29,27
2003-11-29 21:01:00,2003-11-29,7
2003-11-29 21:02:00,2003-11-29,3
2003-11-29 21:03:00,2003-11-29,42
2003-11-29 21:04:00,2003-11-29,80
2003-11-29 21:05:00,2003-11-29,3
2003-11-29 21:06:00,2003-11-29,13
2003-11-29 21:07:00,2003-11-29,83
2003-11-29 21:08:00,2003-11-29,80
2003-11-29 21:09:00,2003-11-29,22
2003-11-29 21:10:00,2003-11-29,96
2003-11-29 21:11:00,2003-11-29,121
2003-11-29 21:12:00,2003-11-29,43
2003-11-29 21:13:00,2003-11-29,214
2003-11-29 21:14:00,2003-11-29,0
2003-11-29 21:15:00,2003-11-29,47
2003-11-29 21:16:00,2003-11-29,90
2003-11-29 21:17:00,2003-11-29,8
2003-11-29 21:18:00,2003-11-29,60
2003-11-29 21:19:00,2003-11-29,93
2003-11-29 21:20:00,2003-11-29,231
2003-11-29 21:21:00,2003-11-29,620
2003-11-29 21:22:00,2003-11-29,131
2003-11-29 21:23:00,2003-11-29,188
2003-11-29 21:24:00,2003-11-29,5
2003-11-29 21:25:00,2003-11-29,86
2003-11-29 21:26:00,2003-11-29,37
2003-11-29 21:27:00,2003-11-29,60
2003-11-29 21:28:00,2003-11-29,3
2003-11-29 21:29:00,2003-11-29,239
2003-11-29 21:30:00,2003-11-29,239
2003-11-29 21:31:00,2003-11-29,38
2003-11-29 21:32:00,2003-11-29,22
2003-11-29 21:33:00,2003-11-29,223
2003-11-29 21:34:00,2003-11-29,175
2003-11-29 21:35:00,2003-11-29,529
2003-11-29 21:36:00,2003-11-29,60
2003-11-29 21:37:00,2003-11-29,600
2003-11-29 21:38:00,2003-11-29,334
2003-11-29 21:39:00,2003-11-29,283
2003-11-29 21:40:00,2003-11-29,0
2003-11-29 21:41:00,2003-11-29,273
2003-11-29 21:42:00,2003-11-29,8
2003-11-29 21:43:00,2003-11-29,0
2003-11-29 21:44:00,2003-11-29,96
2003-11-29 21:45:00,2003-11-29,0
2003-11-29 21:46:00,2003-11-29,0
2003-11-29 21:47:00,2003-11-29,111
2003-11-29 21:48:00,2003-11-29,3
2003-11-29 21:49:00,2003-11-29,3
2003-11-29 21:50:00,2003-11-29,70
2003-11-29 21:51:00,2003-11-29,564
2003-11-29 21:52:00,2003-11-29,231
2003-11-29 21:53:00,2003-11-29,60
2003-11-29 21:54:00,2003-11-29,20
2003-11-29 21:55:00,2003-11-29,52
2003-11-29 21:56:00,2003-11-29,43
2003-11-29 21:57:00,2003-11-29,40
2003-11-29 21:58:00,2003-11-29,93
2003-11-29 21:59:00,2003-11-29,17
2003-11-29 22:00:00,2003-11-29,5
2003-11-29 22:01:00,2003-11-29,0
2003-11-29 22:02:00,2003-11-29,0
2003-11-29 22:03:00,2003-11-29,131
2003-11-29 22:04:00,2003-11-29,70
2003-11-29 22:05:00,2003-11-29,662
2003-11-29 22:06:00,2003-11-29,407
2003-11-29 22:07:00,2003-11-29,111
2003-11-29 22:08:00,2003-11-29,188
2003-11-29 22:09:00,2003-11-29,369
2003-11-29 22:10:00,2003-11-29,256
2003-11-29 22:11:00,2003-11-29,151
2003-11-29 22:12:00,2003-11-29,93
2003-11-29 22:13:00,2003-11-29,126
2003-11-29 22:14:00,2003-11-29,303
2003-11-29 22:15:00,2003-11-29,194
2003-11-29 22:16:00,2003-11-29,52
2003-11-29 22:17:00,2003-11-29,38
2003-11-29 22:18:00,2003-11-29,93
2003-11-29 22:19:00,2003-11-29,10
