timestamp,date,activity
2002-11-08 21:00:00,2002-11-08,241
2002-11-08 21:01:00,2002-11-08,149
2002-11-08 21:02:00,2002-11-08,453
2002-11-08 21:03:00,2002-11-08,99
2002-11-08 21:04:00,2002-11-08,0
2002-11-08 21:05:00,2002-11-08,65
2002-11-08 21:06:00,2002-11-08,99
2002-11-08 21:07:00,2002-11-08,306
2002-11-08 21:08:00,2002-11-08,268
2002-11-08 21:09:00,2002-11-08,16
2002-11-08 21:10:00,2002-11-08,85
2002-11-08 21:11:00,2002-11-08,99
2002-11-08 21:12:00,2002-11-08,0
2002-11-08 21:13:00,2002-11-08,410
2002-11-08 21:14:00,2002-11-08,53
2002-11-08 21:15:00,2002-11-08,644
2002-11-08 21:16:00,2002-11-08,112
2002-11-08 21:17:00,2002-11-08,71
2002-11-08 21:18:00,2002-11-08,259
2002-11-08 21:19:00,2002-11-08,149
2002-11-08 21:20:00,2002-11-08,112
2002-11-08 21:21:00,2002-11-08,21
2002-11-08 21:22:00,2002-11-08,21
2002-11-08 21:23:00,2002-11-08,59
2002-11-08 21:24:00,2002-11-08,154
2002-11-08 21:25:00,2002-11-08,143
2002-11-08 21:26:00,2002-11-08,125
2002-11-08 21:27:00,2002-11-08,859
2002-11-08 21:28:00,2002-11-08,781
2002-11-08 21:29:00,2002-11-08,62
2002-11-08 21:30:00,2002-11-08,53
2002-11-08 21:31:00,2002-11-08,77
2002-11-08 21:32:00,2002-11-08,53
2002-11-08 21:33:00,2002-11-08,53
2002-11-08 21:34:00,2002-11-08,121
2002-11-08 21:35:00,2002-11-08,0
2002-11-08 21:36:00,2002-11-08,107
2002-11-08 21:37:00,2002-11-08,624
2002-11-08 21:38:00,2002-11-08,1178
2002-11-08 21:39:00,2002-11-08,515
2002-11-08 21:40:00,2002-11-08,945
2002-11-08 21:41:00,2002-11-08,781
2002-11-08 21:42:00,2002-11-08,499
2002-11-08 21:43:00,2002-11-08,197
2002-11-08 21:44:00,2002-11-08,149
2002-11-08 21:45:00,2002-11-08,241
2002-11-08 21:46:00,2002-11-08,259
2002-11-08 21:47:00,2002-11-08,26
2002-11-08 21:48:00,2002-11-08,82
2002-11-08 21:49:00,2002-11-08,316
2002-11-08 21:50:00,2002-11-08,424
2002-11-08 21:51:00,2002-11-08,306
2002-11-08 21:52:00,2002-11-08,586
2002-11-08 21:53:00,2002-11-08,0
2002-11-08 21:54:00,2002-11-08,9
2002-11-08 21:55:00,2002-11-08,0
2002-11-08 21:56:00,2002-11-08,0
2002-11-08 21:57:00,2002-11-08,0
2002-11-08 21:58:00,2002-11-08,0
2002-11-08 21:59:00,2002-11-08,0
2002-11-08 22:00:00,2002-11-08,68
2002-11-08 22:01:00,2002-11-08,0
2002-11-08 22:02:00,2002-11-08,0
2002-11-08 22:03:00,2002-11-08,9
2002-11-08 22:04:00,2002-11-08,0
2002-11-08 22:05:00,2002-11-08,0
2002-11-08 22:06:00,2002-11-08,0
2002-11-08 22:07:00,2002-11-08,7
2002-11-08 22:08:00,2002-11-08,59
2002-11-08 22:09:00,2002-11-08,410
2002-11-08 22:10:00,2002-11-08,190
2002-11-08 22:11:00,2002-11-08,3
2002-11-08 22:12:00,2002-11-08,12
2002-11-08 22:13:00,2002-11-08,178
2002-11-08 22:14:00,2002-11-08,327
2002-11-08 22:15:00,2002-11-08,296
2002-11-08 22:16:00,2002-11-08,306
2002-11-08 22:17:00,2002-11-08,234
2002-11-08 22:18:00,2002-11-08,121
2002-11-08 22:19:00,2002-11-08,166
2002-11-08 22:20:00,2002-11-08,166
2002-11-08 22:21:00,2002-11-08,160
2002-11-08 22:22:00,2002-11-08,227
2002-11-08 22:23:00,2002-11-08,327
2002-11-08 22:24:00,2002-11-08,241
2002-11-08 22:25:00,2002-11-08,154
2002-11-08 22:26:00,2002-11-08,316
2002-11-08 22:27:00,2002-11-08,945
2002-11-08 22:28:00,2002-11-08,306
2002-11-08 22:29:00,2002-11-08,134
2002-11-08 22:30:00,2002-11-08,268
2002-11-08 22:31:00,2002-11-08,453
2002-11-08 22:32:00,2002-11-08,483
2002-11-08 22:33:00,2002-11-08,337
2002-11-08 22:34:00,2002-11-08,65
2002-11-08 22:35:00,2002-11-08,79
2002-11-08 22:36:00,2002-11-08,47
2002-11-08 22:37:00,2002-11-08,0
2002-11-08 22:38:00,2002-11-08,53
2002-11-08 22:39:00,2002-11-08,35
2002-11-08 22:40:00,2002-11-08,99
2002-11-08 22:41:00,2002-11-08,40
2002-11-08 22:42:00,2002-11-08,99
2002-11-08 22:43:00,2002-11-08,68
2002-11-08 22:44:00,2002-11-08,47
2002-11-08 22:45:00,2002-11-08,22
2002-11-08 22:46:00,2002-11-08,112
2002-11-08 22:47:00,2002-11-08,166
2002-11-08 22:48:00,2002-11-08,178
2002-11-08 22:49:00,2002-11-08,360
2002-11-08 22:50:00,2002-11-08,59
2002-11-08 22:51:00,2002-11-08,0
2002-11-08 22:52:00,2002-11-08,0
2002-11-08 22:53:00,2002-11-08,10
2002-11-08 22:54:00,2002-11-08,0
2002-11-08 22:55:00,2002-11-08,46
2002-11-08 22:56:00,2002-11-08,134
2002-11-08 22:57:00,2002-11-08,112
2002-11-08 22:58:00,2002-11-08,0
2002-11-08 22:59:00,2002-11-08,0
2002-11-08 23:00:00,2002-11-08,15
2002-11-08 23:01:00,2002-11-08,38
2002-11-08 23:02:00,2002-11-08,10
2002-11-08 23:03:00,2002-11-08,0
2002-11-08 23:04:00,2002-11-08,0
2002-11-08 23:05:00,2002-11-08,0
2002-11-08 23:06:00,2002-11-08,0
2002-11-08 23:07:00,2002-11-08,0
2002-11-08 23:08:00,2002-11-08,10
2002-11-08 23:09:00,2002-11-08,134
2002-11-08 23:10:00,2002-11-08,32
2002-11-08 23:11:00,2002-11-08,0
2002-11-08 23:12:00,2002-11-08,0
2002-11-08 23:13:00,2002-11-08,62
2002-11-08 23:14:00,2002-11-08,0
2002-11-08 23:15:00,2002-11-08,85
2002-11-08 23:16:00,2002-11-08,0
2002-11-08 23:17:00,2002-11-08,327
2002-11-08 23:18:00,2002-11-08,806
2002-11-08 23:19:00,2002-11-08,234
2002-11-08 23:20:00,2002-11-08,709
2002-11-08 23:21:00,2002-11-08,733
2002-11-08 23:22:00,2002-11-08,160
2002-11-08 23:23:00,2002-11-08,40
2002-11-08 23:24:00,2002-11-08,40
2002-11-08 23:25:00,2002-11-08,3
2002-11-08 23:26:00,2002-11-08,0
2002-11-08 23:27:00,2002-11-08,3
2002-11-08 23:28:00,2002-11-08,0
2002-11-08 23:29:00,2002-11-08,50
2002-11-08 23:30:00,2002-11-08,74
2002-11-08 23:31:00,2002-11-08,3
2002-11-08 23:32:00,2002-11-08,0
2002-11-08 23:33:00,2002-11-08,0
2002-11-08 23:34:00,2002-11-08,0
2002-11-08 23:35:00,2002-11-08,0
2002-11-08 23:36:00,2002-11-08,0
2002-11-08 23:37:00,2002-11-08,77
2002-11-08 23:38:00,2002-11-08,756
2002-11-08 23:39:00,2002-11-08,1039
2002-11-08 23:40:00,2002-11-08,859
2002-11-08 23:41:00,2002-11-08,1073
2002-11-08 23:42:00,2002-11-08,1142
2002-11-08 23:43:00,2002-11-08,624
2002-11-08 23:44:00,2002-11-08,268
2002-11-08 23:45:00,2002-11-08,79
2002-11-08 23:46:00,2002-11-08,62
2002-11-08 23:47:00,2002-11-08,50
2002-11-08 23:48:00,2002-11-08,0
2002-11-08 23:49:00,2002-11-08,0
2002-11-08 23:50:00,2002-11-08,0
2002-11-08 23:51:00,2002-11-08,116
2002-11-08 23:52:00,2002-11-08,149
2002-11-08 23:53:00,2002-11-08,154
2002-11-08 23:54:00,2002-11-08,112
2002-11-08 23:55:00,2002-11-08,56
2002-11-08 23:56:00,2002-11-08,71
2002-11-08 23:57:00,2002-11-08,586
2002-11-08 23:58:00,2002-11-08,125
2002-11-08 23:59:00,2002-11-08,94
2002-11-09 00:00:00,2002-11-09,205
2002-11-09 00:01:00,2002-11-09,71
2002-11-09 00:02:00,2002-11-09,178
2002-11-09 00:03:00,2002-11-09,22
2002-11-09 00:04:00,2002-11-09,212
2002-11-09 00:05:00,2002-11-09,241
2002-11-09 00:06:00,2002-11-09,360
2002-11-09 00:07:00,2002-11-09,103
2002-11-09 00:08:00,2002-11-09,38
2002-11-09 00:09:00,2002-11-09,172
2002-11-09 00:10:00,2002-11-09,46
2002-11-09 00:11:00,2002-11-09,178
2002-11-09 00:12:00,2002-11-09,107
2002-11-09 00:13:00,2002-11-09,178
2002-11-09 00:14:00,2002-11-09,3
2002-11-09 00:15:00,2002-11-09,138
2002-11-09 00:16:00,2002-11-09,3
2002-11-09 00:17:00,2002-11-09,91
2002-11-09 00:18:00,2002-11-09,50
2002-11-09 00:19:00,2002-11-09,0
2002-11-09 00:20:00,2002-11-09,143
2002-11-09 00:21:00,2002-11-09,22
2002-11-09 00:22:00,2002-11-09,0
2002-11-09 00:23:00,2002-11-09,0
2002-11-09 00:24:00,2002-11-09,0
2002-11-09 00:25:00,2002-11-09,0
2002-11-09 00:26:00,2002-11-09,0
2002-11-09 00:27:00,2002-11-09,7
2002-11-09 00:28:00,2002-11-09,18
2002-11-09 00:29:00,2002-11-09,9
2002-11-09 00:30:00,2002-11-09,0
2002-11-09 00:31:00,2002-11-09,0
2002-11-09 00:32:00,2002-11-09,316
2002-11-09 00:33:00,2002-11-09,1178
2002-11-09 00:34:00,2002-11-09,665
2002-11-09 00:35:00,2002-11-09,268
2002-11-09 00:36:00,2002-11-09,915
2002-11-09 00:37:00,2002-11-09,438
2002-11-09 00:38:00,2002-11-09,1142
2002-11-09 00:39:00,2002-11-09,806
2002-11-09 00:40:00,2002-11-09,1106
2002-11-09 00:41:00,2002-11-09,859
2002-11-09 00:42:00,2002-11-09,687
2002-11-09 00:43:00,2002-11-09,38
2002-11-09 00:44:00,2002-11-09,134
2002-11-09 00:45:00,2002-11-09,0
2002-11-09 00:46:00,2002-11-09,38
2002-11-09 00:47:00,2002-11-09,205
2002-11-09 00:48:00,2002-11-09,21
2002-11-09 00:49:00,2002-11-09,0
2002-11-09 00:50:00,2002-11-09,0
2002-11-09 00:51:00,2002-11-09,0
2002-11-09 00:52:00,2002-11-09,0
2002-11-09 00:53:00,2002-11-09,28
2002-11-09 00:54:00,2002-11-09,0
2002-11-09 00:55:00,2002-11-09,0
2002-11-09 00:56:00,2002-11-09,0
2002-11-09 00:57:00,2002-11-09,0
2002-11-09 00:58:00,2002-11-09,0
2002-11-09 00:59:00,2002-11-09,0
2002-11-09 01:00:00,2002-11-09,0
2002-11-09 01:01:00,2002-11-09,0
2002-11-09 01:02:00,2002-11-09,0
2002-11-09 01:03:00,2002-11-09,0
2002-11-09 01:04:00,2002-11-09,0
2002-11-09 01:05:00,2002-11-09,0
2002-11-09 01:06:00,2002-11-09,0
2002-11-09 01:07:00,2002-11-09,0
2002-11-09 01:08:00,2002-11-09,0
2002-11-09 01:09:00,2002-11-09,0
2002-11-09 01:10:00,2002-11-09,0
2002-11-09 01:11:00,2002-11-09,0
2002-11-09 01:12:00,2002-11-09,0
2002-11-09 01:13:00,2002-11-09,172
2002-11-09 01:14:00,2002-11-09,0
2002-11-09 01:15:00,2002-11-09,71
2002-11-09 01:16:00,2002-11-09,31
2002-11-09 01:17:00,2002-11-09,0
2002-11-09 01:18:00,2002-11-09,94
2002-11-09 01:19:00,2002-11-09,0
2002-11-09 01:20:00,2002-11-09,29
2002-11-09 01:21:00,2002-11-09,0
2002-11-09 01:22:00,2002-11-09,0
2002-11-09 01:23:00,2002-11-09,197
2002-11-09 01:24:00,2002-11-09,0
2002-11-09 01:25:00,2002-11-09,0
2002-11-09 01:26:00,2002-11-09,0
2002-11-09 01:27:00,2002-11-09,0
2002-11-09 01:28:00,2002-11-09,0
2002-11-09 01:29:00,2002-11-09,0
2002-11-09 01:30:00,2002-11-09,0
2002-11-09 01:31:00,2002-11-09,0
2002-11-09 01:32:00,2002-11-09,0
2002-11-09 01:33:00,2002-11-09,0
2002-11-09 01:34:00,2002-11-09,0
2002-11-09 01:35:00,2002-11-09,0
2002-11-09 01:36:00,2002-11-09,0
2002-11-09 01:37:00,2002-11-09,0
2002-11-09 01:38:00,2002-11-09,0
2002-11-09 01:39:00,2002-11-09,0
2002-11-09 01:40:00,2002-11-09,0
2002-11-09 01:41:00,2002-11-09,0
2002-11-09 01:42:00,2002-11-09,0
2002-11-09 01:43:00,2002-11-09,99
2002-11-09 01:44:00,2002-11-09,0
2002-11-09 01:45:00,2002-11-09,77
2002-11-09 01:46:00,2002-11-09,0
2002-11-09 01:47:00,2002-11-09,0
2002-11-09 01:48:00,2002-11-09,360
2002-11-09 01:49:00,2002-11-09,40
2002-11-09 01:50:00,2002-11-09,0
2002-11-09 01:51:00,2002-11-09,0
2002-11-09 01:52:00,2002-11-09,0
2002-11-09 01:53:00,2002-11-09,0
2002-11-09 01:54:00,2002-11-09,0
2002-11-09 01:55:00,2002-11-09,0
2002-11-09 01:56:00,2002-11-09,103
2002-11-09 01:57:00,2002-11-09,6
2002-11-09 01:58:00,2002-11-09,21
2002-11-09 01:59:00,2002-11-09,0
2002-11-09 02:00:00,2002-11-09,0
2002-11-09 02:01:00,2002-11-09,0
2002-11-09 02:02:00,2002-11-09,0
2002-11-09 02:03:00,2002-11-09,0
2002-11-09 02:04:00,2002-11-09,0
2002-11-09 02:05:00,2002-11-09,0
2002-11-09 02:06:00,2002-11-09,0
2002-11-09 02:07:00,2002-11-09,372
2002-11-09 02:08:00,2002-11-09,56
2002-11-09 02:09:00,2002-11-09,0
2002-11-09 02:10:00,2002-11-09,65
2002-11-09 02:11:00,2002-11-09,0
2002-11-09 02:12:00,2002-11-09,0
2002-11-09 02:13:00,2002-11-09,0
2002-11-09 02:14:00,2002-11-09,0
2002-11-09 02:15:00,2002-11-09,0
2002-11-09 02:16:00,2002-11-09,149
2002-11-09 02:17:00,2002-11-09,53
2002-11-09 02:18:00,2002-11-09,0
2002-11-09 02:19:00,2002-11-09,0
2002-11-09 02:20:00,2002-11-09,0
2002-11-09 02:21:00,2002-11-09,0
2002-11-09 02:22:00,2002-11-09,0
2002-11-09 02:23:00,2002-11-09,0
2002-11-09 02:24:00,2002-11-09,0
2002-11-09 02:25:00,2002-11-09,0
2002-11-09 02:26:00,2002-11-09,0
2002-11-09 02:27:00,2002-11-09,0
2002-11-09 02:28:00,2002-11-09,0
2002-11-09 02:29:00,2002-11-09,0
2002-11-09 02:30:00,2002-11-09,0
2002-11-09 02:31:00,2002-11-09,0
2002-11-09 02:32:00,2002-11-09,0
2002-11-09 02:33:00,2002-11-09,0
2002-11-09 02:34:00,2002-11-09,0
2002-11-09 02:35:00,2002-11-09,0
2002-11-09 02:36:00,2002-11-09,0
