timestamp,date,activity
2010-04-22 21:00:00,2010-04-22,784
2010-04-22 21:01:00,2010-04-22,629
2010-04-22 21:02:00,2010-04-22,977
2010-04-22 21:03:00,2010-04-22,888
2010-04-22 21:04:00,2010-04-22,649
2010-04-22 21:05:00,2010-04-22,240
2010-04-22 21:06:00,2010-04-22,669
2010-04-22 21:07:00,2010-04-22,669
2010-04-22 21:08:00,2010-04-22,520
2010-04-22 21:09:00,2010-04-22,119
2010-04-22 21:10:00,2010-04-22,191
2010-04-22 21:11:00,2010-04-22,629
2010-04-22 21:12:00,2010-04-22,572
2010-04-22 21:13:00,2010-04-22,354
2010-04-22 21:14:00,2010-04-22,240
2010-04-22 21:15:00,2010-04-22,415
2010-04-22 21:16:00,2010-04-22,429
2010-04-22 21:17:00,2010-04-22,132
2010-04-22 21:18:00,2010-04-22,572
2010-04-22 21:19:00,2010-04-22,472
2010-04-22 21:20:00,2010-04-22,472
2010-04-22 21:21:00,2010-04-22,292
2010-04-22 21:22:00,2010-04-22,115
2010-04-22 21:23:00,2010-04-22,415
2010-04-22 21:24:00,2010-04-22,9
2010-04-22 21:25:00,2010-04-22,9
2010-04-22 21:26:00,2010-04-22,47
2010-04-22 21:27:00,2010-04-22,9
2010-04-22 21:28:00,2010-04-22,0
2010-04-22 21:29:00,2010-04-22,34
2010-04-22 21:30:00,2010-04-22,115
2010-04-22 21:31:00,2010-04-22,321
2010-04-22 21:32:00,2010-04-22,342
2010-04-22 21:33:00,2010-04-22,302
2010-04-22 21:34:00,2010-04-22,232
2010-04-22 21:35:00,2010-04-22,377
2010-04-22 21:36:00,2010-04-22,292
2010-04-22 21:37:00,2010-04-22,283
2010-04-22 21:38:00,2010-04-22,377
2010-04-22 21:39:00,2010-04-22,178
2010-04-22 21:40:00,2010-04-22,17
2010-04-22 21:41:00,2010-04-22,946
2010-04-22 21:42:00,2010-04-22,210
2010-04-22 21:43:00,2010-04-22,487
2010-04-22 21:44:00,2010-04-22,809
2010-04-22 21:45:00,2010-04-22,1294
2010-04-22 21:46:00,2010-04-22,457
2010-04-22 21:47:00,2010-04-22,321
2010-04-22 21:48:00,2010-04-22,537
2010-04-22 21:49:00,2010-04-22,1143
2010-04-22 21:50:00,2010-04-22,946
2010-04-22 21:51:00,2010-04-22,342
2010-04-22 21:52:00,2010-04-22,30
2010-04-22 21:53:00,2010-04-22,217
2010-04-22 21:54:00,2010-04-22,443
2010-04-22 21:55:00,2010-04-22,629
2010-04-22 21:56:00,2010-04-22,122
2010-04-22 21:57:00,2010-04-22,173
2010-04-22 21:58:00,2010-04-22,161
2010-04-22 21:59:00,2010-04-22,47
2010-04-22 22:00:00,2010-04-22,137
2010-04-22 22:01:00,2010-04-22,487
2010-04-22 22:02:00,2010-04-22,457
2010-04-22 22:03:00,2010-04-22,78
2010-04-22 22:04:00,2010-04-22,107
2010-04-22 22:05:00,2010-04-22,472
2010-04-22 22:06:00,2010-04-22,1143
2010-04-22 22:07:00,2010-04-22,590
2010-04-22 22:08:00,2010-04-22,977
2010-04-22 22:09:00,2010-04-22,537
2010-04-22 22:10:00,2010-04-22,247
2010-04-22 22:11:00,2010-04-22,225
2010-04-22 22:12:00,2010-04-22,42
2010-04-22 22:13:00,2010-04-22,232
2010-04-22 22:14:00,2010-04-22,15
2010-04-22 22:15:00,2010-04-22,64
2010-04-22 22:16:00,2010-04-22,75
2010-04-22 22:17:00,2010-04-22,107
2010-04-22 22:18:00,2010-04-22,32
2010-04-22 22:19:00,2010-04-22,38
2010-04-22 22:20:00,2010-04-22,96
2010-04-22 22:21:00,2010-04-22,75
2010-04-22 22:22:00,2010-04-22,83
2010-04-22 22:23:00,2010-04-22,78
2010-04-22 22:24:00,2010-04-22,7
2010-04-22 22:25:00,2010-04-22,51
2010-04-22 22:26:00,2010-04-22,977
2010-04-22 22:27:00,2010-04-22,1378
2010-04-22 22:28:00,2010-04-22,834
2010-04-22 22:29:00,2010-04-22,590
2010-04-22 22:30:00,2010-04-22,256
2010-04-22 22:31:00,2010-04-22,265
2010-04-22 22:32:00,2010-04-22,1254
2010-04-22 22:33:00,2010-04-22,1939
2010-04-22 22:34:00,2010-04-22,1560
2010-04-22 22:35:00,2010-04-22,390
2010-04-22 22:36:00,2010-04-22,283
2010-04-22 22:37:00,2010-04-22,42
2010-04-22 22:38:00,2010-04-22,173
2010-04-22 22:39:00,2010-04-22,457
2010-04-22 22:40:00,2010-04-22,487
2010-04-22 22:41:00,2010-04-22,34
2010-04-22 22:42:00,2010-04-22,173
2010-04-22 22:43:00,2010-04-22,75
2010-04-22 22:44:00,2010-04-22,78
2010-04-22 22:45:00,2010-04-22,64
2010-04-22 22:46:00,2010-04-22,29
2010-04-22 22:47:00,2010-04-22,83
2010-04-22 22:48:00,2010-04-22,377
2010-04-22 22:49:00,2010-04-22,311
2010-04-22 22:50:00,2010-04-22,92
2010-04-22 22:51:00,2010-04-22,66
