timestamp,date,activity
2009-10-16 21:00:00,2009-10-16,0
2009-10-16 21:01:00,2009-10-16,0
2009-10-16 21:02:00,2009-10-16,0
2009-10-16 21:03:00,2009-10-16,0
2009-10-16 21:04:00,2009-10-16,0
2009-10-16 21:05:00,2009-10-16,0
2009-10-16 21:06:00,2009-10-16,0
2009-10-16 21:07:00,2009-10-16,0
2009-10-16 21:08:00,2009-10-16,550
2009-10-16 21:09:00,2009-10-16,666
2009-10-16 21:10:00,2009-10-16,605
2009-10-16 21:11:00,2009-10-16,1043
2009-10-16 21:12:00,2009-10-16,733
2009-10-16 21:13:00,2009-10-16,1076
2009-10-16 21:14:00,2009-10-16,782
2009-10-16 21:15:00,2009-10-16,645
2009-10-16 21:16:00,2009-10-16,979
2009-10-16 21:17:00,2009-10-16,294
2009-10-16 21:18:00,2009-10-16,175
2009-10-16 21:19:00,2009-10-16,372
2009-10-16 21:20:00,2009-10-16,758
2009-10-16 21:21:00,2009-10-16,2020
2009-10-16 21:22:00,2009-10-16,808
2009-10-16 21:23:00,2009-10-16,979
2009-10-16 21:24:00,2009-10-16,948
2009-10-16 21:25:00,2009-10-16,733
2009-10-16 21:26:00,2009-10-16,86
2009-10-16 21:27:00,2009-10-16,304
2009-10-16 21:28:00,2009-10-16,0
2009-10-16 21:29:00,2009-10-16,175
2009-10-16 21:30:00,2009-10-16,0
2009-10-16 21:31:00,2009-10-16,0
2009-10-16 21:32:00,2009-10-16,0
2009-10-16 21:33:00,2009-10-16,0
2009-10-16 21:34:00,2009-10-16,0
2009-10-16 21:35:00,2009-10-16,0
2009-10-16 21:36:00,2009-10-16,0
2009-10-16 21:37:00,2009-10-16,0
2009-10-16 21:38:00,2009-10-16,266
2009-10-16 21:39:00,2009-10-16,55
2009-10-16 21:40:00,2009-10-16,0
2009-10-16 21:41:00,2009-10-16,0
2009-10-16 21:42:00,2009-10-16,76
2009-10-16 21:43:00,2009-10-16,62
2009-10-16 21:44:00,2009-10-16,29
2009-10-16 21:45:00,2009-10-16,0
2009-10-16 21:46:00,2009-10-16,121
2009-10-16 21:47:00,2009-10-16,5
2009-10-16 21:48:00,2009-10-16,0
2009-10-16 21:49:00,2009-10-16,157
2009-10-16 21:50:00,2009-10-16,325
2009-10-16 21:51:00,2009-10-16,1110
2009-10-16 21:52:00,2009-10-16,586
2009-10-16 21:53:00,2009-10-16,438
2009-10-16 21:54:00,2009-10-16,586
2009-10-16 21:55:00,2009-10-16,624
2009-10-16 21:56:00,2009-10-16,43
