timestamp,date,activity
2004-02-24 21:00:00,2004-02-24,317
2004-02-24 21:01:00,2004-02-24,125
2004-02-24 21:02:00,2004-02-24,148
2004-02-24 21:03:00,2004-02-24,500
2004-02-24 21:04:00,2004-02-24,454
2004-02-24 21:05:00,2004-02-24,759
2004-02-24 21:06:00,2004-02-24,890
2004-02-24 21:07:00,2004-02-24,689
2004-02-24 21:08:00,2004-02-24,120
2004-02-24 21:09:00,2004-02-24,120
2004-02-24 21:10:00,2004-02-24,425
2004-02-24 21:11:00,2004-02-24,712
2004-02-24 21:12:00,2004-02-24,646
2004-02-24 21:13:00,2004-02-24,1260
2004-02-24 21:14:00,2004-02-24,835
2004-02-24 21:15:00,2004-02-24,1474
2004-02-24 21:16:00,2004-02-24,2507
2004-02-24 21:17:00,2004-02-24,3752
2004-02-24 21:18:00,2004-02-24,5271
2004-02-24 21:19:00,2004-02-24,4379
2004-02-24 21:20:00,2004-02-24,6153
2004-02-24 21:21:00,2004-02-24,7182
2004-02-24 21:22:00,2004-02-24,4379
2004-02-24 21:23:00,2004-02-24,3869
2004-02-24 21:24:00,2004-02-24,3752
2004-02-24 21:25:00,2004-02-24,5437
2004-02-24 21:26:00,2004-02-24,4245
2004-02-24 21:27:00,2004-02-24,3991
2004-02-24 21:28:00,2004-02-24,568
2004-02-24 21:29:00,2004-02-24,978
2004-02-24 21:30:00,2004-02-24,166
2004-02-24 21:31:00,2004-02-24,398
2004-02-24 21:32:00,2004-02-24,52
2004-02-24 21:33:00,2004-02-24,85
2004-02-24 21:34:00,2004-02-24,317
2004-02-24 21:35:00,2004-02-24,73
2004-02-24 21:36:00,2004-02-24,73
2004-02-24 21:37:00,2004-02-24,102
2004-02-24 21:38:00,2004-02-24,34
2004-02-24 21:39:00,2004-02-24,386
2004-02-24 21:40:00,2004-02-24,0
2004-02-24 21:41:00,2004-02-24,116
2004-02-24 21:42:00,2004-02-24,148
2004-02-24 21:43:00,2004-02-24,3
2004-02-24 21:44:00,2004-02-24,64
2004-02-24 21:45:00,2004-02-24,0
2004-02-24 21:46:00,2004-02-24,0
2004-02-24 21:47:00,2004-02-24,58
2004-02-24 21:48:00,2004-02-24,454
2004-02-24 21:49:00,2004-02-24,485
2004-02-24 21:50:00,2004-02-24,130
2004-02-24 21:51:00,2004-02-24,500
2004-02-24 21:52:00,2004-02-24,373
2004-02-24 21:53:00,2004-02-24,606
2004-02-24 21:54:00,2004-02-24,550
2004-02-24 21:55:00,2004-02-24,533
2004-02-24 21:56:00,2004-02-24,425
2004-02-24 21:57:00,2004-02-24,373
2004-02-24 21:58:00,2004-02-24,500
2004-02-24 21:59:00,2004-02-24,259
2004-02-24 22:00:00,2004-02-24,373
2004-02-24 22:01:00,2004-02-24,349
2004-02-24 22:02:00,2004-02-24,268
2004-02-24 22:03:00,2004-02-24,212
2004-02-24 22:04:00,2004-02-24,134
2004-02-24 22:05:00,2004-02-24,76
2004-02-24 22:06:00,2004-02-24,259
2004-02-24 22:07:00,2004-02-24,439
2004-02-24 22:08:00,2004-02-24,454
2004-02-24 22:09:00,2004-02-24,197
2004-02-24 22:10:00,2004-02-24,361
2004-02-24 22:11:00,2004-02-24,204
2004-02-24 22:12:00,2004-02-24,61
2004-02-24 22:13:00,2004-02-24,143
2004-02-24 22:14:00,2004-02-24,227
2004-02-24 22:15:00,2004-02-24,386
2004-02-24 22:16:00,2004-02-24,88
2004-02-24 22:17:00,2004-02-24,204
2004-02-24 22:18:00,2004-02-24,85
2004-02-24 22:19:00,2004-02-24,107
2004-02-24 22:20:00,2004-02-24,116
2004-02-24 22:21:00,2004-02-24,134
2004-02-24 22:22:00,2004-02-24,3
2004-02-24 22:23:00,2004-02-24,134
2004-02-24 22:24:00,2004-02-24,759
2004-02-24 22:25:00,2004-02-24,143
2004-02-24 22:26:00,2004-02-24,306
2004-02-24 22:27:00,2004-02-24,689
2004-02-24 22:28:00,2004-02-24,73
2004-02-24 22:29:00,2004-02-24,107
2004-02-24 22:30:00,2004-02-24,197
2004-02-24 22:31:00,2004-02-24,485
2004-02-24 22:32:00,2004-02-24,296
2004-02-24 22:33:00,2004-02-24,85
2004-02-24 22:34:00,2004-02-24,160
2004-02-24 22:35:00,2004-02-24,2284
2004-02-24 22:36:00,2004-02-24,1954
2004-02-24 22:37:00,2004-02-24,890
2004-02-24 22:38:00,2004-02-24,1182
2004-02-24 22:39:00,2004-02-24,689
2004-02-24 22:40:00,2004-02-24,948
2004-02-24 22:41:00,2004-02-24,1725
2004-02-24 22:42:00,2004-02-24,919
2004-02-24 22:43:00,2004-02-24,1221
2004-02-24 22:44:00,2004-02-24,5111
2004-02-24 22:45:00,2004-02-24,4116
2004-02-24 22:46:00,2004-02-24,4379
2004-02-24 22:47:00,2004-02-24,4955
2004-02-24 22:48:00,2004-02-24,5111
2004-02-24 22:49:00,2004-02-24,4517
2004-02-24 22:50:00,2004-02-24,5111
2004-02-24 22:51:00,2004-02-24,4245
2004-02-24 22:52:00,2004-02-24,4245
2004-02-24 22:53:00,2004-02-24,783
2004-02-24 22:54:00,2004-02-24,197
2004-02-24 22:55:00,2004-02-24,250
2004-02-24 22:56:00,2004-02-24,154
2004-02-24 22:57:00,2004-02-24,98
2004-02-24 22:58:00,2004-02-24,212
2004-02-24 22:59:00,2004-02-24,328
2004-02-24 23:00:00,2004-02-24,306
2004-02-24 23:01:00,2004-02-24,32
